,시군구,유치원,초등학교,중학교,고등학교,보육시설 비율
0,부산광역시 중구,15.5,20.98,22.18,17.92,22.9
1,부산광역시 서구,17.71,19.77,24.45,18.8,12.5
2,부산광역시 동구,18.24,19.86,21.97,18.2,14.9
3,부산광역시 영도구,14.68,17.53,21.73,17.92,19.0
4,부산광역시 부산진구,18.69,21.13,23.97,18.77,13.0
5,부산광역시 동래구,19.06,23.06,26.72,23.47,11.5
6,부산광역시 남구,19.26,21.9,25.37,18.94,17.3
7,부산광역시 북구,16.69,20.95,23.98,19.88,16.0
8,부산광역시 해운대구,19.75,21.91,25.43,21.53,15.0
9,부산광역시 사하구,17.34,21.19,24.23,20.95,16.8
10,부산광역시 금정구,17.94,21.11,24.29,20.4,15.3
11,부산광역시 강서구,17.7,22.62,24.15,24.82,14.0
12,부산광역시 연제구,17.99,22.37,24.16,24.0,13.4
13,부산광역시 수영구,17.64,21.42,23.99,20.92,12.9
14,부산광역시 사상구,17.46,19.0,23.13,19.42,18.3
15,부산광역시 기장군,15.76,22.69,25.62,27.42,17.5
16,대구광역시 중구,20.52,21.91,22.98,22.44,11.5
17,대구광역시 동구,17.24,21.63,22.71,21.88,16.0
18,대구광역시 서구,14.96,18.03,20.23,22.18,21.4
19,대구광역시 남구,22.33,19.31,21.92,22.22,14.7
20,대구광역시 북구,18.42,21.76,22.52,22.0,15.2
21,대구광역시 수성구,20.18,23.77,25.42,22.36,12.5
22,대구광역시 달서구,20.13,22.42,24.25,22.2,15.4
23,대구광역시 달성군,19.79,21.98,22.64,24.03,12.9
24,광주광역시 동구,17.14,18.48,20.96,23.23,13.1
25,광주광역시 서구,17.29,20.25,23.84,23.53,19.0
26,광주광역시 남구,17.16,22.0,24.04,21.92,16.4
27,광주광역시 북구,17.46,20.06,23.45,23.51,16.8
28,광주광역시 광산구,17.6,20.66,24.55,26.11,19.2
29,대전광역시 동구,15.38,18.38,23.38,19.63,21.6
30,대전광역시 중구,15.44,18.47,24.07,19.93,19.8
31,대전광역시 서구,15.99,21.31,24.43,23.0,19.0
32,대전광역시 유성구,17.02,20.71,24.2,21.75,18.0
33,대전광역시 대덕구,16.39,17.31,22.07,20.95,21.8
34,울산광역시 중구,17.18,20.95,24.16,23.02,15.5
35,울산광역시 남구,17.8,21.48,25.66,22.45,16.2
36,울산광역시 동구,18.95,21.06,25.53,23.15,17.0
37,울산광역시 북구,19.03,22.45,25.31,23.3,15.2
38,울산광역시 울주군,15.08,20.16,23.85,22.76,14.9
39,세종특별자치시,14.25,19.77,23.56,22.92,13.7
40,강원특별자치도 춘천시,17.06,19.87,25.29,23.18,19.0
41,강원특별자치도 원주시,15.86,19.57,26.03,25.34,16.9
42,강원특별자치도 강릉시,14.94,17.83,24.91,22.42,17.5
43,강원특별자치도 동해시,14.09,19.67,25.03,20.62,21.4
44,강원특별자치도 태백시,8.35,13.5,22.27,16.46,20.8
45,강원특별자치도 속초시,16.0,19.47,27.13,23.96,18.6
46,강원특별자치도 삼척시,14.78,14.41,18.68,19.31,20.9
47,강원특별자치도 홍천군,9.9,11.47,18.15,20.01,21.2
48,강원특별자치도 횡성군,10.33,11.58,15.11,17.3,19.8
49,강원특별자치도 영월군,10.17,10.59,13.64,15.92,16.1
50,강원특별자치도 평창군,9.15,9.44,16.41,16.98,16.6
51,강원특별자치도 정선군,8.38,9.1,15.24,15.33,17.4
52,강원특별자치도 철원군,11.86,12.88,20.98,17.04,13.9
53,강원특별자치도 화천군,8.27,10.52,16.88,14.83,22.1
54,강원특별자치도 양구군,12.92,11.77,13.78,18.89,14.4
55,강원특별자치도 인제군,10.6,11.99,17.86,18.65,15.5
56,강원특별자치도 고성군,12.18,10.63,15.6,12.65,13.3
57,강원특별자치도 양양군,7.47,9.27,16.73,21.42,12.1
58,충청북도 충주시,15.53,18.59,22.93,22.62,16.6
59,충청북도 제천시,13.4,18.12,22.13,21.72,15.8
60,충청북도 청주시,14.95,21.55,25.55,24.55,17.5
61,충청북도 보은군,9.17,9.03,15.03,17.97,13.1
62,충청북도 옥천군,10.5,12.81,18.44,20.57,17.2
63,충청북도 영동군,10.22,11.69,17.52,17.35,17.8
64,충청북도 진천군,14.4,19.47,22.47,21.4,15.2
65,충청북도 괴산군,8.42,9.21,13.28,20.59,18.6
66,충청북도 음성군,12.3,15.92,18.62,20.09,23.5
67,충청북도 단양군,7.5,9.38,13.61,21.19,24.9
68,충청북도 증평군,14.59,20.3,21.62,17.16,17.7
69,충청남도 천안시,16.02,21.69,27.75,27.44,19.3
70,충청남도 공주시,11.86,13.95,20.23,19.06,21.1
71,충청남도 보령시,13.0,13.38,20.88,18.84,19.2
72,충청남도 아산시,15.72,20.95,26.08,28.63,20.9
73,충청남도 서산시,13.6,19.56,24.56,24.21,18.2
74,충청남도 논산시,10.53,15.06,21.2,17.91,22.2
75,충청남도 계룡시,15.67,20.47,27.18,27.06,20.3
76,충청남도 당진시,14.86,19.46,25.6,24.4,18.6
77,충청남도 금산군,9.81,11.69,19.44,18.0,26.5
78,충청남도 부여군,9.06,10.05,18.48,16.45,19.5
79,충청남도 서천군,7.04,10.3,17.36,17.8,22.4
80,충청남도 청양군,6.58,9.47,16.13,17.56,24.0
81,충청남도 홍성군,15.98,18.01,23.22,20.79,17.0
82,충청남도 예산군,10.65,12.77,20.28,20.6,15.5
83,충청남도 태안군,8.97,11.92,18.95,17.45,18.5
84,전라북도 전주시,15.68,21.87,26.22,24.54,18.4
85,전라북도 군산시,14.35,19.0,25.19,22.99,18.8
86,전라북도 익산시,12.34,17.49,23.2,21.18,21.3
87,전라북도 정읍시,11.31,13.08,18.82,17.81,20.5
88,전라북도 남원시,7.18,12.91,20.13,16.87,23.1
89,전라북도 김제시,8.84,10.89,19.39,17.57,18.8
90,전라북도 완주군,11.76,13.99,19.53,16.92,22.5
91,전라북도 진안군,6.63,7.73,10.7,15.61,10.5
92,전라북도 무주군,6.57,10.91,15.71,16.78,13.9
93,전라북도 장수군,6.69,9.92,12.71,16.19,15.2
94,전라북도 임실군,5.87,7.71,11.78,16.35,12.3
95,전라북도 순창군,7.57,8.11,15.97,18.91,14.5
96,전라북도 고창군,9.44,10.44,15.78,17.15,17.8
97,전라북도 부안군,10.07,10.51,15.13,16.14,16.3
98,전라남도 목포시,14.45,20.83,26.75,21.29,23.1
99,전라남도 여수시,14.04,18.52,24.97,20.59,14.4
100,전라남도 순천시,14.57,20.38,26.15,21.46,17.1
101,전라남도 나주시,14.72,17.78,18.97,18.57,17.1
102,전라남도 광양시,12.35,18.8,24.25,21.79,17.6
103,전라남도 담양군,9.72,11.63,16.73,18.6,14.1
104,전라남도 곡성군,6.53,10.47,19.08,15.63,24.6
105,전라남도 구례군,7.13,10.45,14.87,14.92,16.7
106,전라남도 고흥군,8.67,10.27,13.96,16.73,17.1
107,전라남도 보성군,5.95,8.89,15.02,16.78,17.6
108,전라남도 화순군,9.25,13.63,19.25,21.37,22.8
109,전라남도 장흥군,8.24,10.85,15.52,15.61,19.6
110,전라남도 강진군,7.53,9.57,13.96,18.02,20.6
111,전라남도 해남군,11.11,12.17,19.62,16.61,12.6
112,전라남도 영암군,8.94,13.16,17.09,16.93,25.1
113,전라남도 무안군,13.89,18.18,24.97,24.24,15.2
114,전라남도 함평군,4.45,9.51,14.49,17.73,21.1
115,전라남도 영광군,10.42,14.2,18.88,16.43,7.0
116,전라남도 장성군,10.74,12.5,18.88,19.26,13.0
117,전라남도 완도군,9.8,11.41,14.44,17.74,17.5
118,전라남도 진도군,10.45,10.23,15.34,15.78,14.6
119,전라남도 신안군,6.47,6.55,9.29,12.62,18.9
120,경상북도 포항시,16.8,21.83,22.83,20.74,18.1
121,경상북도 경주시,15.96,18.99,23.02,19.21,16.6
122,경상북도 김천시,16.53,18.17,21.25,20.51,16.0
123,경상북도 안동시,15.87,18.92,22.89,19.74,18.6
124,경상북도 구미시,18.24,22.73,23.51,21.72,19.8
125,경상북도 영주시,12.52,18.73,21.33,20.52,17.1
126,경상북도 영천시,13.79,15.89,18.69,19.02,14.9
127,경상북도 상주시,13.82,13.39,17.97,18.36,13.9
128,경상북도 문경시,14.06,14.25,18.21,18.63,17.9
129,경상북도 경산시,17.71,21.72,23.31,23.18,15.7
130,경상북도 군위군,6.25,8.66,11.32,18.31,14.3
131,경상북도 의성군,4.71,10.09,12.7,16.65,13.3
132,경상북도 청송군,11.0,10.04,9.41,14.94,19.1
133,경상북도 영양군,5.67,8.57,14.59,15.39,16.4
134,경상북도 영덕군,5.38,12.49,13.37,15.42,15.1
135,경상북도 청도군,10.26,11.64,16.2,20.15,14.7
136,경상북도 고령군,8.75,12.81,14.66,18.17,21.3
137,경상북도 성주군,7.73,9.57,12.91,19.08,11.5
138,경상북도 칠곡군,15.64,19.03,21.26,22.27,24.4
139,경상북도 예천군,14.56,16.15,12.61,19.89,17.5
140,경상북도 봉화군,8.78,8.7,13.5,20.44,17.8
141,경상북도 울진군,9.5,14.84,16.54,18.48,13.4
142,경상북도 울릉군,10.5,9.71,15.71,8.0,5.8
143,경상남도 진주시,17.79,20.62,24.96,21.0,17.6
144,경상남도 통영시,14.07,19.2,23.37,24.54,18.3
145,경상남도 사천시,12.45,18.96,23.1,21.32,21.9
146,경상남도 김해시,19.33,21.57,26.04,24.97,19.8
147,경상남도 밀양시,14.09,15.93,21.03,20.77,19.6
148,경상남도 거제시,17.23,21.14,25.26,25.38,18.7
149,경상남도 양산시,18.51,21.66,26.49,30.4,19.7
150,경상남도 창원시,18.41,21.53,25.24,22.15,19.3
151,경상남도 의령군,11.33,7.64,14.35,15.83,11.9
152,경상남도 함안군,12.53,14.86,20.59,21.13,26.3
153,경상남도 창녕군,11.0,13.04,17.73,17.7,15.0
154,경상남도 고성군,6.95,11.36,17.98,19.49,18.9
155,경상남도 남해군,10.07,10.68,17.36,17.0,14.7
156,경상남도 하동군,7.63,8.72,15.85,14.64,16.0
157,경상남도 산청군,8.5,8.41,16.34,17.02,15.9
158,경상남도 함양군,11.35,10.49,17.27,16.48,14.0
159,경상남도 거창군,12.63,14.92,21.03,19.6,17.3
160,경상남도 합천군,9.05,8.16,13.72,14.25,15.1
161,제주특별자치도 제주시,20.45,22.16,25.82,26.24,16.2
162,제주특별자치도 서귀포시,14.74,18.48,24.31,23.01,17.9
